ALMIRA NO.1,,,,,,
LT,CONTROL TRANSFORMER,415V TO 110V ( 1.37A ),,5 ALMIRA / 5 RACK,05 NOS,
,,,,,,
ALMIRA NO.6,,,,,,
MAKE,MATERIAL DISCRIPTION,TYPE (RATING),SIZE,LOCATION,TOTAL NO,
FLUKE,LIGHT MITER,,MANAS SIR KA ALMIRA,6 ALMIRA / 1 RACK,02 NOS,
FLUKE,CLAMP MITER,,MANAS SIR KA ALMIRA,6 ALMIRA / 1 RACK,01 NOS,
KYORITSU,CLAMP MITER,,MANAS SIR KA ALMIRA,6 ALMIRA / 1 RACK,04 NOS,
ELECTRIC ( C&S ),1 POLE MCB ( 20A ),20A,MANAS SIR KA ALMIRA,6 ALMIRA / 5 RACK,270 NOS,
FLUKE,MOTOR & PHASE ROTATION INDICATOR,ROTATION INDICATOR,MANAS SIR KA ALMIRA,6 ALMIRA / 2 RACK,01 NOS,
FLUKE,CLAMP MITER,,PRASHANT SIR,6 ALMIRA / 1 RACK,01 NOS,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ALMIRA NO.7,,,,,,
MAKE,MATERIAL DISCRIPTION,TYPE (RATING),SIZE,LOCATION,TOTAL NO,
C&S,CHARGING MOTOR ( 110V AC / DC 220V AC / DC 250V AC DC FOR 06D-16D/08N-20N ( AHA ),08N - 20N AC / DC,ACB ACCESSORIES CS-AMH-1,"7 ALMIRA / 1,5 RACK",7,
C&S,AUX ISOLATING CONTACT ASSEMBLY,,AIH-BC,7 ALMIRA / 1 RACK,1,
C&S,AUXILIARY CONTACT -1NO+1NC,,CSSDFZX1,7 ALMIRA / 1 RACK,9,
SURDHI,FAILURE RELAY,,,7 ALMIRA / 1 RACK,,
C&S,DOWEL PIN OF D/O GEAR OF 1600A ACB,1600A,ACB ACCESSORIES CSSPGDLPN013,7 ALMIRA / 1 RACK,,
C&S,SHUNT TRIP ( AH-20D-40D) & ( AHA-25N-40S ) 250V AC,,ACB ACCESSORIES CS-AVH-S-220MA,7 ALMIRA / 1 RACK,1,
C&S,AUXILIARY CONTACT,,SFU ACCESSORIES CSSDFZX1,7 ALMIRA / 1 RACK,11,
C&S,AUXILIARY CONTACT,,SFU ACCESSORIES CSSAFZX46,7 ALMIRA / 1 RACK,4,
C&S,"CHARGING HOOK SPRING FOR 2000-4000A , C&D TYPE ACB",,ACB ACCESSORIE CHKSPG-25C,7 AMIRA / 1 RACK,,
C&S,MANUAL CHARGING HANDLE 630-1600A,630-1600A,ACB ACCESSORIE MCLHAND-16B,7 ALMIRA / 1 RACK,5,
C&S,MICRO SWICH,,ACB ACCESSORIE MICROSW,7 ALMIRA / 1 RACK,,
C&S,AUXILIARY CONTACT,,CSSDFZX35,7 ALMIRA / 1 RACK,10,
C&S,COLSING SPRING 630-1600 FOR D& FIXED B TYPE ACB,630-1600A,ACB ACCESSORIES CSPG-16B,7 ALMIRA / 1 RACK,,
,SPRAY PAINT,GREEN,500ML,7 ALMIRA / 1 RACK,1,
,SPRAY PAINT,SILVER,500ML,7 ALMIRA / 1 RACK,2,
C&S,SHUNT TRIP ( AH-06D-16D ) & ( AHA-06N-20S ) 220V DC,220V DC,ACB ACCESSORIES CS-AVH-S-116MD,7 ALMIRA / 1 RACK,1,
C&S,COLSING COIL ( AH-06D-16D ) & ( AHA-06N-20S ) 220V DC,220V DC,ACB ACCESSORIES CS-AVH-C-116MD,7 ALMIRA / 1 RACK,1,
C&S,ANTI PUMPING RELAY 1600A,1600 A,CS-ANTPUMPRIY-116MD,7 ALMIRA / 1 RACK,10,
C&S,AUX ISOLATING CONTACT ASSEMBLY,,AIH-BC,7 ALMIRA / 1 RACK,,
C&S,AUXILIARY CONTACT -1NO+1NC,,CSSDFZX46,7 ALMIRA / 1 RACK,6,
SURDHI,FAILURE RELAY,,,7 ALMIRA / 1 RACK,,
C&S,DOWEL PIN OF D/O GEAR OF 1600A ACB,1600A,ACB ACCESSORIES CSSPGDLPN013,7 ALMIRA / 1 RACK,,
C&S,SHUNT TRIP ( AH-20D-40D) & ( AHA-25N-40S ) 250V AC,250V AC,ACB ACCESSORIES CS-AVH-S-220MA,7 ALMIRA / 1 RACK,1,
C&S,AUXILIARY CONTACT,,SFU ACCESSORIES CSSDFZX1,7 ALMIRA / 1 RACK,,
C&S,AUXILIARY CONTACT,,SFU ACCESSORIES CSSDFZX46,7 ALMIRA / 1 RACK,,
C&S,CHARGING HOOK SPRING FOR 2000-4000A C&D TYPE ACB,2000-4000A,ACB ACCESSORIES CHKSPG-25C,7 ALMIRA / 1 RACK,1,
C&S,DOWEL PIN FOR CAM FOR 1600A ACB,1600A,ACB ACCESSORIES DPCAM,7 ALMIRA / 1 RACK,,
C&S,AUXILIARY CONTACT,,CSSDFZX35,7 ALMIRA / 1 RACK,,
C&S,CLOSING SPRING 630-1600 FOR D& FIXED B TYPE ACB,,ACB ACCESSORIES CSPG-16B,7 ALMIRA / 1 RACK,5,
C&S,CHARGING HOOK FOR D& FIXED B TYPE ACB,630-1600A,CHOOK-16B,7 ALMIRA / 1 RACK,5,
,J- LINEAR HALOGER LAMP 500W,500W,,7 ALMIRA / 1-2 RACK,,
C&S,CSHUNT SPRING ( AH-06-D-16D) & ( AHA-06N-20S ) 220V D,220V DC,ACB ACCESSORIES CS-AVH-S-116MD,7 ALMIRA / 1 RACK,,
C&S,CLOSING COIL LIMIT SWITCH,,CCLIMSW,7 ALMIRA / 2 RACK,20,
,HAND GLOVES 1700V,1700V,,7 ALMIRA / 2 RACK,,
,HAND GLOVES 11000V,11000V,,7 ALMIRA / 2 RACK,,
,HAND GLOVES 650V,650V,,7 ALMIRA / 2 RACK,,
C&S,CLOSING COIL ( AH-20D-40D) & ( AHA-25N-40S ) 220V D,220V DC,ACB ACCESSORIES CS-AVH-C-220MD,7 ALMIRA / 2 RACK,13,
C&S,COLSING COIL ( AH-06D-16D ) & ( AHA-06N-20S ) 220V DC,220V DC,ACB ACCESSORIES CS-AVH-C-116MD,7 ALMIRA / 2 RACK,46,
C&S,CLOSING COIL ( AH-06-D-16D) & ( AHA-06N-20N ) 220V D,220V DC,ACB ACCESSORIES CS-AVH-C-116MD,7 ALMIRA / 2 RACK,,
C&S,CLOSING COIL ( AH-06-D-16D) & ( AHA-06N-20N ) 220V D,220V DC,ACB ACCESSORIES CS-AVH-C-116MD,7 ALMIRA / 2 RACK,,
C&S,POSITION INDICATION SWITCH FOR ACB 2000A-4000A,2000A-4000A,ACB ACCESSORIES ALB-IP-2,"7 ALMIRA / 2,4 RACK",27,
C&S,CHARGING LATCH 630-1600A FOR D& FIXED B TYPE ACB,,ABC ACCESSORIES CLATCH-16B,7 ALMIRA / 2 RACK,32,
C&S,CHARGING LATCH PIN 630-1600A FOR D& FIXED B TYPE ACB,,ABC ACCESSORIES CLATCHPIN-16B,7 ALMIRA / 2 RACK,10,
C&S,CHARGING HOOK PIN 630-1600A FOR D& FIXED B TYPE ACB,,ACB ACCESSORIES CLCHOOKPIN-16B,7 ALMIRA / 2 RACK,8,
C&S,CHARGING HOOK PIN 2000-2500A FOR C&D TYPE ACB,2000-2500A,ACB ACCESSORIES CLCHOOKPIN-25C,7 ALMIRA / 2 RACK,4,
C&S,CHARGING LATCH 2000A - 2500A FOR C&D TYPE ACB,2000A - 2500A,ACB ACCESSORIES CLATCH-25C,7 ALMIRA / 2 RACK,24,
